Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.7 inch,5000 mAh,,4GB,128GB,Snapdragon 680 8 nhân,,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,3389000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.6 inch,,,8GB,128GB, MediaTek Dimensity 1080 8 nhân, 2.2 GHz,,5950000
"Điện thoại thông minh itel A26  2 Sim 2 Sóng 4G LTE - Màn hình IPS 5.7"" - RAM 2GB + ROM 32 GB - Mở khoá bằng Gương Mặt -  Hàng chính hãng ",Itel,,Android,5.7 inch,2950mAh/3020mAh（min/typ）,,2 GB,32 GB,Spreadtrum SC9832E,Quad-core ARM CortexTM A53 1.4GHz,Single-coreARM mali820 as 3D graphics accelerator,2390000
Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng chính hãng,Xiaomi,,Android,6.43 inch,5000mAh,,,,MediaTek Helio G96,,ARM Mali-G57 MC2,5089000
Điện Thoại Smartphone KXD EL D68 3GB/32GB - Hàng chính hãng,Itel,,Android,6.09 inch,3600mah,,3GB,32GB,MTK6739 Quad core,,,1088000
Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,6.7 inch,5000,,8GB,256GB,"	MediaTek Dimensity 7050 5G 8 nhân",2.6 GHz,"	Mali-G68 MC4",9290000
Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,,Android,,5000mah,,4GB,64GB,Qualcomm Snapdragon 480 5G,,,2499000
Điện Thoại Itel S23 4GB/128GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,Itel,,Android,6.6 inch,5000mAh,,4GB,128GB,Unisoc T606,,,2190000
Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,5000 mAh,,8 GB,256 GB,Snapdragon 732G 8 nhân,2 nhân 2.2 GHz &amp; 6 nhân 1.8 GHz, Adreno 618,6750000
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,6850000
Điện thoại Smartphone Sugar A100 2GB/16GB 4G LTE - Hàng chính hãng,Sugar,,Android,,,,,,Mediatek MT6739 4 nhân 4x1.5GHz,,,799000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.6 inch,5000 mAh,13 MP, 8 GB,128 GB,MediaTek Dimensity 1080 8 nhân,2.2 GHz, Mali-G68 MC4,6490000
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,OPPO,,Android,6.72 inch,5000 mAh,8 MP,6 GB,128 GB,MediaTek Helio G85 8 nhân,2.0 GHz,Mali-G52 MP2,4590000
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng ,Xiaomi,,Android,6.67 inch,5000,,8GB,256GB,MediaTek Dimensity 1080 8 nhân, 2.6 GHz,,8250000
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế ,OPPO,,Android,6.5 inch,4000mah,,4GB,64GB,Snapdragon 480 5G,,,2899000
"Điện thoại Tecno SPARK GO 2023 4GB/64GB - Helio A22 | 5000 mAh | 6,6"" HD+| Cảm ứng vân tay | Hàng chính hãng | Bảo hành chính hãng 13 tháng",Tecno,,Android,,,,,,,,,2199000
Điện Thoại TCL 40SE (4GB/128GB) - Hàng Chính Hãng,TCL,,Android,6.75 inch,5010 mAh,,4GB,128GB,MediaTek Helio G37,MediaTek Helio G37,MG GE8320,2594000
"Điện thoại thông minh siêu bền Oukitel WP28 (màn hình 6.52‘' ,HD+ ,pin 10600mAh ,Ram 15Gb(8GB+7Gb),Rom 256GB ,Android13, camera 48MP)-hàng chính hãng",Oukitel,,Android,,,,,,,,,4990000
Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,Xiaomi,,Android,6.7 inch,,,,,MediaTek Helio G85 8 nhân, 2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,,2450000
