Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
"Điện thoại Xiaomi Redmi A2| IPS LCD 6.52"" HD+| MediaTek Helio G36| 5000 mAh - Hàng chính hãng",Xiaomi,,Android,6.52 inch,5000mAh,,2GB,32GB,MediaTek Helio G36, 2.2 GHz,,2190000
Điện Thoại OPPO RENO8 Z 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,6.4 inch,4500mah,,8GB,256GB,Qualcomm Snapdragon 695 5G,tối đa 2.2GHz,Adreno 619,8644000
Điện Thoại OPPO A96 (8GB/128GB) - Hàng Chính Hãng,OPPO,,Android,6.59 inch,,,,,Snapdragon 680 8 nhân, 2.4 GHz,,6348000
Điện Thoại Xiaomi Redmi 12C - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000mAh,,4Gb,,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,Mali-G52 MC2,3090000
Điện thoại Samsung Galaxy S23 Ultra (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.8 inch,,,,,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz và 3 nhân 2 GHz",,30000000
Điện thoại Vivo Y02s (3GB/32GB) - Hàng Chính Hãng,Vivo,,Android,,,,,,MediaTek Helio P35,,,2799000
"Điện thoại smartphone Masstel Hapi 15 (2GB/16GB) - 2 Sim, Tặng kèm ốp lưng - Hàng chính hãng - Bảo hành chính hãng",Masstel,,Android,,,,,,Spreadtrum SC9832E – 4 nhân 1.4GHz,,,1499000
Điện Thoại Di Động Samsung Galaxy A33 (5G) 6GB | 128GB - Hàng Chính Hãng,Samsung,,Android,6.4 inch,,,,,,,,7000000
"Điện thoại Bphone A60 (Ram 6Gb,Rom 128 Gb,màn hình đục lổ FHD 6.7inch , pin 5.000mAh ) - Hàng chính hãng",Bphone,,Android,6.67 inch,,,6,128,Mediatek Helio G85,,,6490000
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,,,,,MediaTek Dimensity 1080 8 nhân,2.6 GHz,,8499000
Điện thoại Samsung A33 5G 6GB/128GB Trắng - Hàng Chính Hãng,Samsung,,Android,6.4 inch,,,6gb,128gb,Exynos 1280 8 nhân, 2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,,7000000
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,,,,,Snapdragon 685 8 nhân,2.8 GHz,,3879000
Điện Thoại Samsung Galaxy A54 5G (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.4 inch,,,,,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,,10790000
Điện thoại Samsung Galaxy A03s (3GB/32GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,MediaTek MT6765 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,,2990000
Điện thoại Xiaomi Redmi 10 5G - Hàng chính hãng,Xiaomi,,Android,,5000mAh,,,,MediaTek Dimensity 700; 2.2Ghz,,,3552000
Điện thoại Samsung Galaxy Z Fold 4 5G 256GB Kem - Hàng chính hãng,Samsung,,Android,,,,,,,,,38000000
"Điện thoại Oukitel WP2 chống nước,chống va đập, pin 10.000 mAh - Hàng chính hãng",Oukitel,,Android,,,,,,,,,5490000
Điện Thoại Realme C51 3GB/64GB - Hàng Chính Hãng,Realme,,Android,6.74 inch,,,3GB,64GB,Unisoc T612,,,2799000
Điện Thoại Samsung Galaxy Z Fold 4 (12GB/256GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,Samsung,,Android,,4400,,12GB,256GB,8 nhân,"3.18GHz, 2.7GHz, 2GHz",,38000000
Điện thoại Samsung Galaxy S23 Plus 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.6 inch,4700 mAh,,8 GB,256 GB, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",,18000000
Điện Thoại Realme C55 6GB/128GB - Hàng Chính Hãng,Realme,,Android,6.7 inch,5000 mAh,,128GB,6GB,MediaTek Helio G88,,,3782000
Điện Thoại Nokia C30 2GB/32GB - Hàng Chính Hãng,Nokia,,Android,6.8 inch,6000 mAh,,32GB,2GB,Spreadtrum SC9863A,,,1679000
Redmi Note 12 Cấu Hình Khủng- hàng chính hãng- Giá rẻ,Xiaomi,,Android,,,,,,,,,4490000
Điện thoại Samsung Galaxy Z Fold 4 (12GB/512GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,42000000
Điện Thoại Oppo Reno8 Z 5G 8GB/256GB - Hàng Chính Hãng,OPPO,,Android,6.43 inch,4500 mAh,,8GB,256GB,Snapdragon 695 5G 8 nhân,2.2 GHz,Adreno 619,8644000
Điện thoại Realme C11 2021 (4GB/64GB) - Hàng chính hãng,Realme,,Android,6.5 inch,,,,,Spreadtrum SC9863A 8 nhân,4 nhân 1.6 GHz & 4 nhân 1.2 GHz,,3790000
Điện Thoại Oppo A17k 3GB/64GB - Hàng Chính Hãng,OPPO,,Android,6.56 inch,,,,,MediaTek Helio G35,,,2582000
Điện thoại Oppo A17k (3GB/64GB) - Hàng chính hãng,OPPO,,Android,6.56 inch,,,,,MediaTek Helio G35 8 nhân,2.3 GHz,,3276000
Điện thoại vivo Y02T - Hàng chính hãng,Vivo,,Android,6.5 inch,5000 mAh,,4G,64G,MediaTek Helio P35 8 nhân , 4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,IMG PowerVR GE8320,3125500
Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,Xiaomi,,Android,6.43 inch,5000 mAh,,8Gb,256Gb,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,Mali-G57 MC2,6990000
Điện thoại Oppo Reno8 T (8GB/256GB) - Hàng chính hãng,OPPO,,Android,6.4 inch,,,,,MediaTek Helio G99 8 nhân,8 nhân 2.2 GHz,,10392000
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,,,,,,MediaTek Helio G25 (12 nm),8 nhân 2.0 GHz,,1799000
Điện thoại Samsung Galaxy S23 Ultra 1TB - Hàng chính hãng,Samsung,,Android,6.8 inch,,,,,Snapdragon 8 Gen 2 (4 nm),Adreno 740,,44990000
Điện Thoại Xiaomi Redmi A2 2GB/32GB - Hàng Chính Hãng,Xiaomi,,Android,6.52 inch,5000 mAh,,,,MediaTek Helio G36 8 nhân,, IMG PowerVR GE8320,1783000
Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.7 inch,,,,,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,,3008000
Điện thoại Samsung Galaxy A14 LTE (4GB/128GB) - Hàng chính hãng,Samsung,,Android,6.6 inch,,,,,,,,3672000
Điện thoại Samsung Galaxy A04 (3GB/32GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,MediaTek Helio P35 8 nhân,4 nhân 2.3 GHz và 4 nhân 1.8 GHz,,2400000
Điện thoại OPPO A96 (8GB/28GB) - Hàng chính hãng,OPPO,,Android,6.59 inch, 5000 mAh,, 8 GB,128 GB, Snapdragon 680 8 nhân, 2.4 GHz,Adreno 610,6348000
Điện Thoại Oppo Reno 8T 4G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,,,,,,,,,8136000
Điện Thoại Samsung Galaxy A14 (6GB/128GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,4990000
Điện thoại Oppo A57 (4GB/128GB) - Hàng chính hãng,OPPO,,Android,6.56 inch,,,,,MediaTek Helio G35 8 nhân,2.3 GHz,,4632000
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng,Xiaomi,,Android,,,,,,,,,3189000
"Điện thoại ZTE Blade A52 4GB l 64GB, Pin 5000mAh, Màn hình 6.52"", Camera AI Triple - Hàng chính hãng",ZTE,,Android,6.52 inch,,,,,,,,3490000
Điện thoại Samsung Galaxy A14 5G A146P (4+128G) Đen - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,5080000
Điện Thoại Xiaomi Redmi 10A 2GB/32GB - Hàng Chính Hãng,Xiaomi,,Android,6.53 inch,5000 mAh,,2GB,32GB,MediaTek Helio G25 8 nhân,4 nhân 2.0 GHz &amp; 4 nhân 1.5 GHz, IMG PowerVR GE8320,2556000
Điện thoại OPPO A55- Hàng chính hãng,OPPO,,Android,6.5 inch,5000mAh,,4GB,,Helio G35,2.3GHz,,3912000
Điện Thoại Xiaomi Redmi 10 4GB/64GB - Hàng Chính Hãng,Xiaomi,,Android,6.5 inch, 5000 mAh, 8 MP,4GB,64GB, MediaTek Helio G88 8 nhân,, Mali-G52 MC2,3552000
Điện Thoại Samsung Galaxy A14 5G (4GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.6 inch,,,4GB,128GB, MediaTek Dimensity 700 5G 8 nhân, Mali-G57 MC2,,5000000
Điện Thoại Itel S23 16GB(8GB+8GB)/256GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,Itel,,Android,6.6 inch,,,,,Unisoc T606,,,2885000
Điện thoại Samsung S22 Plus 8GB/256GB Đen - Hàng Chính Hãng,Samsung,,Android,6.6 inch, 4500 mAh,,8GB,256GB, Snapdragon 8 Gen 1 8 nhân,,Snapdragon 8 Gen 1 8 nhân,25025000
Điện thoại Realme C55 6GB/128GB Đen trời đêm - Hàng chính hãng,Realme,,Android,,,,,,MediaTek Helio G88,"Lõi tám nhân, 12nm, lên đến 2.0GHz",,3850000
Điện thoại Redmi A1 | Điện thoại cấu hình mạnh - Hàng chính hãng - Giá rẻ,Xiaomi,,Android,6.52 inch,,,2G,32G,MediaTek,MT6761 (Helio A22),IMG PowerVR GE8300,2150100
Điện thoại Oppo Reno8 T 5G (8GB/128GB) - Hàng chính hãng,OPPO,,Android,6.7 inch,,,,,Snapdragon 695 5G 8 nhân,8 nhân 2.2 GHz,,7700000
Điện thoại Samsung Galaxy Z Fold 4 5G 256GB Đen - Hàng chính hãng,Samsung,,Android,,,,,,,,,38531000
Điện thoại Samsung Galaxy Z Flip 4 5G 128GB Tím - Hàng chính hãng,Samsung,,Android,,,,,,,,,22551000
Điện thoại Xiaomi Redmi Note 11 Pro  (8GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,,,,, MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz & 6 nhân 2.0 GHz,,7032000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,6.52 inch,,,,, MediaTek MT6761 4 nhân (Helio A22),2.0 GHz,,1790000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,6.52 inch,,,,,Helio A22,4 nhân 2.0 GHz,,2088000
Điện thoại Samsung Galaxy A33 5G (6GB/128GB) - Hàng chính hãng,Samsung,,Android,6.4 inch,,,,,Exynos 1280 8 nhân,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,,7000000
Điện Thoại Vivo Y02s (3GB/32GB) - Hàng Chính Hãng,Vivo,,Android,,,,,,,,,2799000
Điện thoại Xiaomi REDMI 9A (2+32) Xanh lá - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,,Android,,,,,,,,,2088000
Điiện Thoại OPPO Reno8 Z 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,6.43 inch,4500 mAh,,8GB,256GB,Snapdragon 695 5G 8 nhân,2.2 GHz,,8644000
Điện Thoại Samsung Galaxy A34 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,9490000
Điện Thoại Bphone 3 - Hàng Chính Hãng,Bphone,,Android,6 inch,3000 mAh,12MP,3 GB,32 GB,,1.8 GHz,Adreno 509,6990000
Điện thoại Xiaomi Redmi Note 12 4GB/128GB | AMOLED FHD+ 6.7 120HZ | Snapdragon 685 | 5000mAh + 33W | Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,,,,,Snapdragon 685,,,3890000
Điện thoại Samsung Galaxy A05 (4GB/128GB)- Helio G85 - Sạc nhanh 25W - Hàng chính hãng,Samsung,,Android,6.7 inch,5000mah,,4GB,128GB,Helio G85,,,2743000
Điện Thoại Samsung Galaxy Z Flip 3 (128GB) - Hàng Chính Hãng,Samsung,,Android,6.7 inch,3300mAh,10MP,,128GB,,,,20000000
Điện thoại Samsung A33 5G 6GB/128GB Đen - Hàng Chính Hãng,Samsung,,Android,6.4 inch,5000 mAh,,6gb,128gb, Exynos 1280 8 nhân, 2 nhân 2.4 GHz &amp; 6 nhân 2 GHz, Mali-G68,6800000
Điện Thoại Samsung Galaxy A24 (6GB/128GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,5808000
Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB Xanh lục - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,23950000
Điện thoại Samsung Galaxy A14 5G (4GB/128GB) - Hàng chính hãng,Samsung,,Android,6.6 inch,,,,,MediaTek Dimensity 700 5G 8 nhân,2.2 GHz,,5000000
"Điện thoại ZTE Blade V40 Vita (ZTE 8045) - MH giọt nước HD+ 6.75"" - Pin 6000 mAh sạc nhanh 22.5W -  Bộ nhớ mở rộng (4+2)GB - Hàng chính hãng",ZTE,,Android,6.7 inch,,,,,,,,4290000
Điện Thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng Chính Hãng,Xiaomi,,Android,6.67 inch,5000 mAh,,4Gb,128Gb,Snapdragon 685 8 nhân,2.80 GHz,Adreno 610,4490000
Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,, Snapdragon 865 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",,7459000
Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,,5000 mAh,5 MP,2 GB,,,,MediaTek Helio G25,2556000
Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng,Samsung,,Android,6.5 inch,4500 mAh,32 MP,8GB,Tùy chọn: 128GB/256GB,Exynos 990 8 nhân,"2 nhân 2.73 GHz, 2 nhân 2.5 GHz &amp; 4 nhân 2.0 Ghz",Mali-G77 MP11,8625000
"Điện thoại Ulefone Armor 14 pro (chống nước,chống va đập,pin khủng,pin 10.000mAh,Ram 8Gb,Rom 128Gb)- hàng chính hãng",Ulefone,,Android,6.52 inch,10000,,6Gb,128Gb,,,,5990000
Điện thoại Xiaomi Redmi 10A (2/32GB)  - Hàng chính hãng ,Xiaomi,,Android,,,,,,,,,2331000
Điện Thoại OPPO A17K (3GB/64GB) - Hàng Chính Hãng,OPPO,,Android,6.56 inch,5000 mAh,,3GB,64GB, MediaTek Helio G35 8 nhân, 2.3 GHz,,3276000
Điện thoại Samsung Galaxy A24 - Hàng chính hãng,Samsung,,Android,,,,,,,,,5808000
Điện thoại Samsung Galaxy Z Flip4 5G (8 GB/128 GB) - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8+ Gen 1 8 nhân,,,20250000
Điện thoại Xiaomi REDMI 9C (3+64) Xám - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,,Android,,,,,,,,,2568000
Điện thoại OPPO Reno8T 4G - Hàng chính hãng,OPPO,,Android,,,,,,,,,8136000
Điện thoại Samsung Galaxy Z Fold 4 (12GB/256GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,38000000
Điện thoại Samsung Galaxy Z Flip4 5G - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8+ Gen 1 8 nhân,,,20250000
Điện Thoại Samsung Galaxy A33 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,Samsung,,Android,, 5000 mAh,,8GB,128GB, Exynos 1280 8 nhân, 2 nhân 2.4 GHz &amp; 6 nhân 2 GHz, Mali-G68,8990000
Điện Thoại OPPO A54 (4GB/128GB) - Hàng Chính Hãng,OPPO,,Android,6.43 inch,,,,,Mediatek P35,,,3912000
Điện thoại Samsung Galaxy A33 5G (8/128GB) - Hàng chính hãng,Samsung,,Android,,5000mAh,,6GB,,,,,8500000
Điện Thoại Realme C51 4GB/128GB - Hàng Chính Hãng,Realme,,Android,6.74 inch,5000 mAh,,4GB,128GB,Unisoc Tiger T612,1.82 GHz,1.82 GHz,3311000
Điện thoại Xiaomi Redmi A1 - Hàng chính hãng,Xiaomi,,Android,,,,,,Đang cập nhật,2.0 GHz,,2088000
Điện Thoại Samsung Galaxy S23 Ultra 5G - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,30000000
Điện Thoại Samsung Galaxy Z Flip3 5G 8GB/128GB - Hàng Chính Hãng ,Samsung,,Android,,3300mAh,,8GB,,,,,20000000
Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,Xiaomi,,Android,6.7 inch,,,,,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz và 6 nhân 1.8 GHz,,3168000
"Điện thoại thông minh XIAOMI Redmi 10A 2GB+32GB/3GB+64GB MediaTek Helio G25 | 6,53"" HD+ Hàng chính hãng",Xiaomi,,Android,6.53 inch,,,2GB/3GB,32GB/64GB, MediaTek Helio G25 8 nhân,2,,2556000
"Điện thoại Smartphone iTel A26 (2GB/32GB) - Chụp Ảnh AI, Mở Khoá Bằng Khuôn Mặt  - Hàng Chính Hãng",OEM,,Android,5.7 inch,3020mAh,,2GB,32GB,Spreadtrum SC9832E; Quad-core ARM CortexTM A53,1.4GHz,Single-coreARM mali820 as 3D graphics accelerator,1299000
Điện Thoại Samsung Galaxy S23 5G - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,23491000
Điện thoại Samsung A05 4GB - hàng chính hãng,Samsung,,Android,,,,,,,,,2781000
Điện thoại Samsung Galaxy S23 Ultra 5G 12GB/512GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.8 inch,,,12 GB,512 GB, Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",,33000000
Điện Thoại Oppo A76 6GB/128GB - Hàng Chính Hãng,OPPO,,Android,6.56 inch, 5000 mAh,,6GB,128GB,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,Adreno 610,5436000
Điện thoại OPPO A77 4GB+4GB/128GB - Sạc siêu nhanh 33W - Hàng nhập khẩu nhật - Bản quốc tế,OPPO,,Android,6.56 inch,5000 mah,,4GB,128GB,MediaTek Helio G35,,,3499000
Điện Thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,7.6 inch,4400 mAh,,12GB,256GB, Snapdragon 8+ Gen 1 8 nhân," 1 nhân 2.84 GHz, 3 nhân 2.4 GHz &amp; 4 nhân 1.8 GHz", Snapdragon 8+ Gen 1 8 nhân,38531000
Điện thoại Samsung Galaxy S23 Ultra 12GB/1TB Tím - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,42000000
Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,,Android,6.6 inch,5000,,8 GB,128 GB,8 nhân,"2.6GHz, 2GHz",,7164000
Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,Xiaomi,,Android,6.53 inch,5000mAh,5MP,3GB,64GB,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,2508000
Điện Thoại Samsung Galaxy A33 5G (6GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.4 inch,,,,,Exynos 1280 8 nhân,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,,6800000
Điện thoại Samsung Galaxy S23 Ultra 256GB - Hàng chính hãng,Samsung,,Android,6.8 inch,,,,,Snapdragon 8 Gen 2 (4 nm),Adreno 740,,31990000
Điện thoại Oppo A18 - Hàng chính hãng,OPPO,,Android,,,,,,,,,3499000
"Điện thoại Xiaomi Redmi A2 MediaTek Helio G36 , Pin 5000 mAh - Hàng chính hãng",Xiaomi,,Android,,,,,,MediaTek Helio G36,,,1839000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc - Hàng chính hãng,Samsung,,Android,,,,,,Dimensity 1080 – 5nm,,,7080000
Điện thoại Tecno Spark Go 2023 4G/64G Hàng chính hãng,Tecno,,Android,6.56 inch,5000 mAh,,4G,64G,Helio A22,4 nhân ARM Cortex-A53,,2331000
Điện thoại di động Xiaomi Redmi 9A - 2GB/32GB - Hàng chính hãng - Giá rẻ,Xiaomi,,Android,,,,,,,,,2290000
Điện thoại Xiaomi Redmi Note 11 Pro (8GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,,,,,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz & 6 nhân 2.0 GHz,,7032000
Điện thoại OPPO A57 (4 GB/128 GB) - Hàng chính hãng,OPPO,,Android,,5000 mAh,,4 GB,128 GB,MediaTek Helio G35,,,4632000
Điện thoại Vivo Y33s (8GB/128GB) - Hàng chính hãng,Vivo,,Android,,,,,,MediaTek Helio G80 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,,6069000
Điện thoại Samsung Galaxy S23 Plus 256GB - Hàng chính hãng,Samsung,,Android,6.6 inch,,,,,Snapdragon 8 Gen 2,Adreno 740,,26990000
Điện thoại Samsung Galaxy Z Flip4 5G - Hàng chính hãng,Samsung,,Android,,,,,,Snapdragon 8+ Gen 1 8 nhân,,,20250000
Điện thoại Realme C25Y (4GB/128GB) - Hàng chính hãng,Realme,,Android,6.5 inch,,,,,Unisoc T618 8 nhân,2.0 GHz,,3599000
Điện thoại Samsung Galaxy Z Fold 4 5G 256GB Xám - Hàng chính hãng,Samsung,,Android,,,,,,,,,38000000
Điện Thoại Samsung A14 5G 4GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.6 inch,,,,,MediaTek Dimensity 700,,,5000000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.6 inch,,,,,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",,23000000
Điện thoại Xiaomi Redmi Note 11 Pro 8GB/128GB Xám - Hàng Chính Hãng,Xiaomi,,Android,6.67 inch,5000 mAh,,8gb,128gb,Snapdragon 695 5G 8 nhân, 2 nhân 2.2 GHz &amp; 6 nhân 1.8 GHz, Adreno 619,7032000
Điện thoại OPPO A57 4GB/128GB Vàng - Hàng chính hãng,OPPO,,Android,,,,,,MediaTek Helio G35,,,4632000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Granite Gray,Xiaomi,,Android,6.53 inch,,,2GB,32GB,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz, IMG PowerVR GE8320,2088000
Điện Thoại Oppo Reno 8T 5G (8GB/128GB) - Hàng Chính Hãng ,OPPO,,Android,,,,,,,,,7700000
Điện thoại Nokia C20 2GB/32GB Xanh - Hàng Chính Hãng,Nokia,,Android,6.5 inch, 2950 mAh,,2gb,32gb,Spreadtrum SC9863A 8 nhân,4 nhân 1.6 GHz &amp; 4 nhân 1.2 GHz, Mali-G52 MC2,1410000
Điện Thoại Samsung Galaxy A54 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,,Android,6.4 inch,5000 mAh,,8 GB,256 GB,"802.11 a/b/g/n/ac/ax 2.4G+5GHz, HE80, MIMO, 1024-QAM","2.4GHz, 2GHz",,10790000
Điện Thoại Oppo A57 (4GB/64GB) - Hàng Chính Hãng,OPPO,,Android,,,,,,,,,4284000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.4 inch,,,,,Exynos 1380 8 nhân,,,10490000
Xiaomi Redmi 12C (4G/64G) - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000mAh,,4GB,64GB,MediaTek Helio G85 8 nhân, 2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,2872000
Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,,,,,Exynos 850 8 nhân,8 nhân 2.0 GHz,,2990000
Điện Thoại Samsung Galaxy Z Flip 3 (256GB) - Hàng Chính Hãng,Samsung,,Android,6.7 inch,3300mAh,10MP,,256GB,Snapdragon 888,,,20000000
Điện thoại Xiaomi Redmi 9A 2GB/32GB Xám - Hàng chính hãng,Xiaomi,,Android,,,,,,MediaTek Helio G25 8 nhân,,,2088000
Điện thoại Xiaomi Redmi A2 (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,,,,,,,,,1879000
Samsung Galaxy A04e 3G/32G - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,,,,,,,,,2249100
Điện thoại Xiaomi Redmi 9C - Hàng chính hãng,Xiaomi,,Android,6.53 inch,5000mAh,,4GB,128GB,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,,2508000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Đen - Hàng chính hãng,Samsung,,Android,,,,,,Dimensity 1080 – 5nm,,,7080000
Samsung Galaxy A34 5G A346E (8+128G) Silver Bạc - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,,Android,,,,,,,,,7164000
Điện thoại Samsung Galaxy A33 A336E 5G Orange (DM) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,7000000
Điện thoại Nokia C20 2GB/32GB Vàng - Hàng Chính Hãng,Nokia,,Android,6.5 inch,2950 mAh,,2gb,32gb, Spreadtrum SC9863A 8 nhân, 4 nhân 1.6 GHz &amp; 4 nhân 1.2 GHz,Mali-G52 MC2,1410000
Điện Thoại Samsung Galaxy S23 (8GB/128GB) - Hàng Chính Hãng,Samsung,,Android,6.1 inch,,,8 GB,128 GB,Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",Adreno 740,22990000
Điện thoại OPPO A57 4GB/128GB Đen - Hàng chính hãng,OPPO,,Android,,,,,,MediaTek Helio G35,,,3640000
Điện Thoại Samsung Galaxy A14 5G (4GB/128GB) - Hàng Chính hãng,Samsung,,Android,,5.000 mAh Công nghệ sạc  Sạc nhanh 15W,,4 GB,128 GB,MediaTek MT6883V,2.20 GHz,,5190000
Điện thoại OPPO CPH2375 - A76 Xanh Thời Thượng - Hàng chính hãng (chỉ giao HN và một số khu vực),OPPO,,Android,,,,,,,,,5436000
