Product Name,Manufacturer,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Phone Chip,Processor Speed (GHz),Price (VND)
Điện thoại Xiaomi Redmi 9A - Hàng chính hãng,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25,8 nhân A53 tốc độ lên tới 2.0Ghz,2088000
Điện Thoại Xiaomi Redmi 13C 6GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.74,5000,50,6,128,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,2907000
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Xiaomi,Android,6.74,5000,50,6,128,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,2990000
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,Xiaomi,Android,6.74,5000,50,6,128,MediaTek Helio G85 8 nhân,,3028000
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.74,5000,50,6,128,,,3189000
"Điện thoại Xiaomi Redmi 13C (6+128GB) | 6.74"" 90Hz| Media Tek Helio G85| 5000mAh - Hàng chính hãng",Xiaomi,Android,6.74,5000,50,6,128,Helio G85,,3028000
Điện thoại Xiaomi Redmi 13C (4GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,Xiaomi,Android,6.74,5000,50,4,128,MediaTek Helio G85 8 nhân,,2799000
"Điện thoại Xiaomi Redmi 13C (4+128GB) | 6.74"" 90Hz| Media Tek Helio G85| 5000mAh - Hàng chính hãng",Xiaomi,Android,6.74,5000,50,4,128,Helio G85,,2793000
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,64,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,2465000
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,64,Mediatek MT6769Z Helio G85 (12nm),,2399000
Điện Thoại Xiaomi Redmi 12C 3GB/32GB - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,3,32,,,2029000
Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,64,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz và 6 nhân 1.8 GHz,3168000
Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,64,MediaTek Helio G85 8 nhân, 2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,2450000
Điện thoại Xiaomi Redmi 12C (3GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,3,32,MediaTek Helio G85,,2029000
Điện Thoại Xiaomi Redmi 12C - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,64,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,3090000
Điện thoại Xiaomi Redmi 12 8GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.78,5000,50,8,128,MediaTek Helio G88 8 nhân, 2.0 GHz,4390000
"Điện thoại Xiaomi Redmi 12 (8GB/128GB) , Helio G88 , Màn 90HZ - Hàng chính hãng",Xiaomi,Android,6.78,5000,50,8,128,MediaTek Helio G88 8 nhân,,4090000
Điện thoại Xiaomi Redmi 12 (4GB-128GB) - Hàng Chính Hãng,Xiaomi,Android,6.78,5000,50,4,128,Mali-G52,2.0 GHz,3890000
"Điện thoại Xiaomi Redmi 12 (4GB/128GB) , Helio G88 , Màn 90HZ - Hàng chính hãng",Xiaomi,Android,6.78,5000,50,4,128,MediaTek Helio G88 8 nhân,,3590000
Điện thoại Xiaomi Redmi 10C 4GB/128GB Xanh Dương - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,3468000
Điện thoại Xiaomi Redmi 10C 4GB/128GB Xám - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,3468000
Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680,Octa-Core,3468000
Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân,,3008000
Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680,"Octa-core CPU, up to 2.4GHz",3468000
Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128, Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,3468000
Điện thoại Xiaomi Redmi 10C (4GB/64GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128, Snapdragon 680 8 nhân,,3468000
Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,2960000
Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,3008000
Điện thoại Xiaomi Redmi 10C (4G/128G) - hàng chính hãng,Xiaomi,Android,6.7,5000,50,4,128,Snapdragon 680 8 nhân,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,3141000
Điện thoại Xiaomi Redmi 10C (4 +128) Xanh Dương - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Xiaomi,Android,6.7,5000,50,4,128,,,3468000
